File.Name,Source.Short,Table,Group.Type,Taxon,Species,N,Full.Citation
Collias1950-2.csv,Collias1950,Tb2,Captive,Ungulate,Tragelaphus angasi,7,"Collias, N. E. 1950 Some variations in grouping and dominance patterns among birds and mammals. Zoologica 35, 97–119."
Collias1951-3.csv,Collias1951,Tb3,Natural,Bird,Phasianus colchicus,9,"Collias, N. E. & Taber, R. D. 1951 A field study of some grouping and dominance relations in ring-necked pheasants. Condor 53, 265–275."
Collias1951-4.csv,Collias1951,Tb4,Natural,Bird,Phasianus colchicus,8,"Collias, N. E. & Taber, R. D. 1951 A field study of some grouping and dominance relations in ring-necked pheasants. Condor 53, 265–275."
Collias1951-5.csv,Collias1951,Tb5,Natural,Bird,Phasianus colchicus,14,"Collias, N. E. & Taber, R. D. 1951 A field study of some grouping and dominance relations in ring-necked pheasants. Condor 53, 265–275."
Cote2000-4.csv,Cote2000,Tb4,Natural,Ungulate,Oreamnos americanus,45,"Côté, S. D. 2000 Dominance hierarchies in female mountain goats: stability, aggressiveness and determinants of rank. Behaviour 137, 1541–1566."
David2003-2a.csv,David2003,Tb2a,Natural,Fish,Galaxias argenteus,7,"David, B. O. & Stoffels, R.J. 2003 Spatial organisation and behavioural interaction of giant kokopu (Galaxias argenteus) in two stream pools differing in fish density. N. Z. J. Mar. Freshwater Res. 37, 315–322."
David2003-2b.csv,David2003,Tb2b,Natural,Fish,Galaxias argenteus,9,"David, B. O. & Stoffels, R.J. 2003 Spatial organisation and behavioural interaction of giant kokopu (Galaxias argenteus) in two stream pools differing in fish density. N. Z. J. Mar. Freshwater Res. 37, 315–322."
deWaal1977-1.csv,deWaal1977,Matrix1,Captive,Primate,Macaca fascicularis,14,"de Waal, F. B. M. 1977 The organization of agonistic relations within two captive groups of Java-monkeys (Macaca fascicularis). Z. Tierpsychol. 44, 225–282."
deWaal1977-2.csv,deWaal1977,Matrix2,Captive,Primate,Macaca fascicularis,17,"de Waal, F. B. M. 1977 The organization of agonistic relations within two captive groups of Java-monkeys (Macaca fascicularis). Z. Tierpsychol. 44, 225–282."
deWaal1985-1.csv,deWaal1985,Tb1,Captive,Primate,Macaca mulatta,24,"de Waal, F. B. M. & Luttrell, L. M. 1985 The formal hierarchy of rhesus macaques: an investigation of the bared-teeth display. Am. J. Primatol. 9, 73–85."
Ellard1989-3.csv,Ellard1989,Tb3,Captive,Ungulate,Equus caballus,12,"Ellard, M. E. & Crowell-Davis, S. L. 1989 Evaluating equine dominance in draft mares. Appl. Anim. Behav. Sci. 24, 55–75."
Fairbanks1994-3.csv,Fairbanks1994,Tb3,Natural,Ungulate,Antilocapra americana,12,"Fairbanks, W. S. 1994 Dominance, age and aggression among female pronghorn, Antilocapra americana (Family: Antilocapridae). Ethology 97, 278–293."
